n,worst,best,average
500,245257,245336,246364
1000,1005542,944251,921831
1500,2149754,2176481,2194880
2000,3962566,3935029,3967440
2500,6126235,6063211,6148538
3000,8853695,8812806,8606762
3500,11984925,11764428,10635722
4000,13707430,14652062,14761707
4500,17116992,16368850,16320583
5000,21155263,22661431,20504604
5500,25310999,25240151,25214975
6000,30421837,30406323,30332066
6500,36205212,36418131,35508237
7000,41804167,41831611,42002260
7500,48279727,48275434,46921750
8000,54481849,54305670,54412555
8500,61537916,61124218,61325804
9000,69135452,69032767,69039473
9500,77553022,77690836,77864441
10000,87959430,84335371,84504846
10500,93910660,89835633,87632301
11000,94920097,95317665,95241491
11500,103633999,103926925,103612695
12000,112846131,113548671,112617965
12500,122254580,122133478,122042985
13000,132122438,132193605,132214743
13500,142708893,146729195,145656789
14000,157584915,157538797,156957641
14500,163852094,348130544,164607391
15000,175593938,175653611,175094067
