n,BC,AC,WC
100,5395,4168,5185
200,10021,8452,9094
300,12938,12652,12747
400,16782,16683,18458
500,21502,21418,21543
600,26549,27147,26328
700,33080,32170,31584
800,36957,36739,36820
900,41765,41632,43089
1000,47849,48293,47065
1100,53723,52627,52615
1200,58060,58594,59285
1300,63568,63477,64595
1400,69589,70941,71164
1500,76634,75112,75348
1600,80785,83043,85532
1700,88472,86725,87518
1800,91305,91183,90830
1900,98322,97607,96287
2000,102233,104399,104649
2100,109159,109786,107230
2200,115218,119003,116288
2300,120145,124785,120639
2400,127083,128368,124964
2500,133512,131802,132723
2600,140653,140296,141514
2700,147843,148525,145679
2800,152166,150789,153465
2900,160663,156746,157857
3000,165887,162692,167573
3100,169892,167574,167515
3200,174482,174816,174457
3300,183534,179295,180892
3400,188545,186558,190085
3500,192884,192756,193541
3600,200049,198976,206209
3700,206532,210070,205402
3800,211603,213968,211176
3900,221146,218022,216990
4000,222002,221806,223531
4100,225785,226679,226968
4200,235953,237193,237249
4300,241683,245099,242804
4400,253002,245101,245529
4500,256045,256908,257730
4600,263574,260759,261311
4700,268163,267791,266975
4800,274307,271439,271837
4900,280356,279972,280241
5000,295936,289035,289966
5100,292784,293012,295084
5200,302236,303069,300306
5300,307186,307503,307615
5400,310928,311741,314144
5500,318102,319031,318904
5600,328241,323996,322757
5700,334555,330346,331904
5800,336491,338618,351141
5900,346653,341332,343160
6000,352028,352725,350490
6100,365995,362142,365601
6200,362357,414001,416727
6300,378120,373083,375001
6400,372724,375652,375998
6500,383196,381893,381516
6600,387123,385297,386129
6700,390653,393790,394050
6800,399325,398685,399325
6900,402904,402638,403342
7000,405721,421479,411729
7100,416341,417736,419013
7200,422947,421669,423215
7300,431475,431742,430297
7400,436610,436705,437952
7500,446585,442888,444044
7600,444306,463837,453081
7700,455264,455782,457466
7800,470221,460857,464283
7900,469057,468850,467602
8000,475970,475461,473730
8100,519131,518238,529984
8200,516662,513904,511901
8300,521586,529297,520585
8400,542090,542173,537379
8500,535158,514896,526831
8600,521782,560575,534721
8700,527682,534282,524450
8800,538884,603344,555618
8900,546133,608051,548257
9000,596561,571595,584832
9100,575980,557793,575255
9200,562800,557998,558903
9300,565979,569776,571313
9400,582303,579732,579783
9500,580071,570377,590244
9600,582351,585506,581546
9700,590943,589169,589418
9800,596762,610618,594315
9900,608673,600002,602075
10000,609765,606895,608499
