r,c,BC,AC,WC
5,5,-1,3726,-1
10,10,-1,3574,-1
15,15,-1,6449,-1
20,20,-1,10904,-1
25,25,-1,18217,-1
30,30,-1,27385,-1
35,35,-1,37159,-1
40,40,-1,48519,-1
45,45,-1,64399,-1
50,50,-1,76851,-1
55,55,-1,92236,-1
60,60,-1,112677,-1
65,65,-1,134774,-1
70,70,-1,158458,-1
75,75,-1,186228,-1
80,80,-1,219735,-1
85,85,-1,253698,-1
90,90,-1,285212,-1
95,95,-1,330180,-1
100,100,-1,372419,-1
105,105,-1,419238,-1
110,110,-1,471380,-1
115,115,-1,528022,-1
120,120,-1,590993,-1
125,125,-1,660694,-1
130,130,-1,734344,-1
135,135,-1,807768,-1
140,140,-1,892046,-1
145,145,-1,989113,-1
150,150,-1,1091982,-1
155,155,-1,1203685,-1
160,160,-1,1323224,-1
165,165,-1,1473892,-1
170,170,-1,1606028,-1
175,175,-1,2018428,-1
180,180,-1,1979928,-1
185,185,-1,2137725,-1
190,190,-1,2271436,-1
195,195,-1,2461295,-1
200,200,-1,2665602,-1
205,205,-1,3117622,-1
210,210,-1,3827386,-1
215,215,-1,4040775,-1
220,220,-1,4318285,-1
225,225,-1,4722519,-1
230,230,-1,5160802,-1
235,235,-1,6091620,-1
240,240,-1,6781407,-1
245,245,-1,6960899,-1
250,250,-1,7304776,-1
255,255,-1,7858559,-1
260,260,-1,8374800,-1
265,265,-1,8982133,-1
270,270,-1,9529296,-1
275,275,-1,10145577,-1
280,280,-1,10968275,-1
285,285,-1,11754072,-1
290,290,-1,12356573,-1
295,295,-1,13104205,-1
300,300,-1,14068691,-1
305,305,-1,14850284,-1
310,310,-1,15708122,-1
315,315,-1,16557032,-1
320,320,-1,18045451,-1
325,325,-1,18294709,-1
330,330,-1,18904878,-1
335,335,-1,19906215,-1
340,340,-1,20963514,-1
345,345,-1,22263716,-1
350,350,-1,23373960,-1
355,355,-1,25999829,-1
360,360,-1,26436998,-1
365,365,-1,29759290,-1
370,370,-1,30040767,-1
375,375,-1,30902873,-1
380,380,-1,32690690,-1
385,385,-1,34843306,-1
390,390,-1,36839317,-1
395,395,-1,37659979,-1
400,400,-1,39759817,-1
