r,c,BC,AC,WC
5,5,-1,4894,-1
10,10,-1,7399,-1
15,15,-1,8814,-1
20,20,-1,6480,-1
25,25,-1,8517,-1
30,30,-1,11463,-1
35,35,-1,14257,-1
40,40,-1,17641,-1
45,45,-1,21304,-1
50,50,-1,24930,-1
55,55,-1,29380,-1
60,60,-1,33604,-1
65,65,-1,38271,-1
70,70,-1,42201,-1
75,75,-1,47367,-1
80,80,-1,53368,-1
85,85,-1,59601,-1
90,90,-1,64093,-1
95,95,-1,69235,-1
100,100,-1,75875,-1
105,105,-1,82612,-1
110,110,-1,89243,-1
115,115,-1,95627,-1
120,120,-1,102323,-1
125,125,-1,110265,-1
130,130,-1,120364,-1
135,135,-1,118257,-1
140,140,-1,126708,-1
145,145,-1,134771,-1
150,150,-1,144194,-1
155,155,-1,152927,-1
160,160,-1,162074,-1
165,165,-1,174962,-1
170,170,-1,182977,-1
175,175,-1,194199,-1
180,180,-1,201785,-1
185,185,-1,208726,-1
190,190,-1,221647,-1
195,195,-1,235083,-1
200,200,-1,242475,-1
205,205,-1,252849,-1
210,210,-1,268829,-1
215,215,-1,286464,-1
220,220,-1,283985,-1
225,225,-1,305452,-1
230,230,-1,315334,-1
235,235,-1,318675,-1
240,240,-1,331622,-1
245,245,-1,342001,-1
250,250,-1,353423,-1
255,255,-1,375289,-1
260,260,-1,438917,-1
265,265,-1,413858,-1
270,270,-1,406351,-1
275,275,-1,450998,-1
280,280,-1,584389,-1
285,285,-1,635747,-1
290,290,-1,667028,-1
295,295,-1,688327,-1
300,300,-1,736062,-1
305,305,-1,780039,-1
310,310,-1,795583,-1
315,315,-1,817190,-1
320,320,-1,843104,-1
325,325,-1,828530,-1
330,330,-1,879053,-1
335,335,-1,903909,-1
340,340,-1,947712,-1
345,345,-1,935633,-1
350,350,-1,980472,-1
355,355,-1,997707,-1
360,360,-1,1024973,-1
365,365,-1,1046008,-1
370,370,-1,958036,-1
375,375,-1,950512,-1
380,380,-1,950487,-1
385,385,-1,971632,-1
390,390,-1,1003845,-1
395,395,-1,1032256,-1
400,400,-1,1060288,-1
405,405,-1,1125875,-1
410,410,-1,1199228,-1
415,415,-1,1275389,-1
420,420,-1,1198131,-1
425,425,-1,1214926,-1
430,430,-1,1237450,-1
435,435,-1,1315230,-1
440,440,-1,1338784,-1
445,445,-1,1310758,-1
450,450,-1,1319277,-1
