r,c,BC,AC,WC
100,2,-1,12155,-1
200,2,-1,11530,-1
300,2,-1,14269,-1
400,2,-1,24564,-1
500,2,-1,14756,-1
600,2,-1,19556,-1
700,2,-1,24148,-1
800,2,-1,21922,-1
900,2,-1,22795,-1
1000,2,-1,35635,-1
1100,2,-1,28678,-1
1200,2,-1,35288,-1
1300,2,-1,52639,-1
1400,2,-1,31605,-1
1500,2,-1,32682,-1
1600,2,-1,41688,-1
1700,2,-1,39476,-1
1800,2,-1,43390,-1
1900,2,-1,42095,-1
2000,2,-1,45061,-1
2100,2,-1,48682,-1
2200,2,-1,60916,-1
2300,2,-1,55161,-1
2400,2,-1,53462,-1
2500,2,-1,57879,-1
2600,2,-1,58999,-1
2700,2,-1,57556,-1
2800,2,-1,62780,-1
2900,2,-1,64744,-1
3000,2,-1,72203,-1
3100,2,-1,66544,-1
3200,2,-1,75964,-1
3300,2,-1,72444,-1
3400,2,-1,78176,-1
3500,2,-1,77714,-1
3600,2,-1,85481,-1
3700,2,-1,83816,-1
3800,2,-1,80132,-1
3900,2,-1,89708,-1
4000,2,-1,129727,-1
4100,2,-1,113255,-1
4200,2,-1,187544,-1
4300,2,-1,174550,-1
4400,2,-1,120400,-1
4500,2,-1,100997,-1
4600,2,-1,108420,-1
4700,2,-1,110750,-1
4800,2,-1,105034,-1
4900,2,-1,109526,-1
5000,2,-1,112235,-1
5100,2,-1,115147,-1
5200,2,-1,114474,-1
5300,2,-1,118879,-1
5400,2,-1,117159,-1
5500,2,-1,119178,-1
5600,2,-1,127149,-1
5700,2,-1,123995,-1
5800,2,-1,133677,-1
5900,2,-1,126290,-1
6000,2,-1,131121,-1
6100,2,-1,138972,-1
6200,2,-1,128757,-1
6300,2,-1,137316,-1
6400,2,-1,136536,-1
6500,2,-1,138636,-1
6600,2,-1,149378,-1
6700,2,-1,142564,-1
6800,2,-1,145166,-1
6900,2,-1,149286,-1
7000,2,-1,142719,-1
7100,2,-1,159871,-1
7200,2,-1,153181,-1
7300,2,-1,159415,-1
7400,2,-1,155659,-1
7500,2,-1,176977,-1
7600,2,-1,156201,-1
7700,2,-1,175073,-1
7800,2,-1,169443,-1
7900,2,-1,172360,-1
8000,2,-1,171110,-1
8100,2,-1,180889,-1
8200,2,-1,170330,-1
