n,worst,best,average
500,63377,50736,129370
1000,227906,194760,389397
1500,514241,413081,767754
2000,911584,720540,1274624
2500,1414680,1113509,1918907
3000,2059100,1587675,2663453
3500,2802255,2176825,3512525
4000,3645003,2827280,4469109
4500,4589014,3559009,5611833
5000,5657085,4438565,6885572
5500,6863764,5347180,8270230
6000,8173733,6281797,9812561
6500,9599076,7390524,11364598
7000,11125584,8653014,13187052
7500,12879882,9837943,15107262
8000,14537270,11128662,17151453
8500,16550815,12907143,19497886
9000,18456915,14078186,21694594
9500,20552810,15757528,24299491
10000,22719925,17525836,27053959
10500,25192461,19268810,29907824
11000,27366710,20645083,32852557
11500,30127924,22940741,36325721
12000,32763640,25164444,39855678
12500,35583527,27102651,43804682
13000,38471355,29463133,48211410
13500,41517348,33005221,53024805
14000,44696799,34121907,57654131
14500,47867467,36799263,63398567
15000,51693061,39455920,70028192
