n,worst,best,average
100,349,96,268
200,253,50,295
300,382,50,405
400,469,49,433
500,589,53,542
600,665,50,655
700,788,51,798
800,885,48,840
900,960,51,985
1000,1111,50,1129
1100,1221,52,1198
1200,1308,48,1297
1300,1419,48,1458
1400,1656,49,1522
1500,1637,60,1639
1600,1785,49,1783
1700,1953,52,1773
1800,1993,51,2010
1900,2102,55,1993
2000,2409,1538,2278
2100,3755,73,3030
2200,2369,49,2274
2300,2465,46,2378
2400,2477,47,2461
2500,2595,46,2571
2600,2702,48,2737
2700,2869,60,2817
2800,3121,51,3159
2900,3162,46,3651
3000,3681,47,3274
3100,3339,48,3381
3200,3632,48,3547
3300,3587,49,3813
3400,3752,49,3749
3500,3873,49,3811
3600,3915,52,3865
3700,4120,51,4106
3800,4074,49,4221
3900,4282,48,4137
4000,4526,46,4231
4100,4351,50,4334
4200,4536,48,4458
4300,4631,56,5496
4400,5024,48,4960
4500,4847,48,4717
4600,4808,49,4779
4700,5009,50,4919
4800,5131,43,5926
4900,4922,44,5239
5000,5849,50,5495
5100,5418,48,5403
5200,5647,48,5549
5300,5560,61,5838
5400,5717,47,5905
5500,5676,44,5949
5600,6355,50,6402
5700,6807,47,6370
5800,6420,52,6290
5900,6329,48,6332
6000,6248,48,6066
6100,6578,48,6554
6200,6721,38,6451
6300,6725,25,6568
6400,7470,24,6582
6500,6809,23,6835
6600,7063,24,6932
6700,6993,24,9198
6800,8131,25,7053
6900,7308,24,8534
7000,7198,24,7262
7100,7457,28,7586
7200,7666,24,7589
7300,7525,25,7354
7400,8933,25,7668
7500,7723,28,7733
7600,7926,26,7718
7700,8495,24,7887
7800,9690,25,7887
7900,8096,24,7866
8000,8196,23,8594
8100,8942,24,8498
8200,8794,24,9084
8300,9358,23,8576
8400,8861,27,8902
8500,9501,22,9174
8600,9241,26,9206
8700,10162,23,11296
8800,9507,27,9703
8900,9225,25,9272
9000,12879,25,9128
9100,9445,27,9706
9200,9926,26,12263
9300,9817,25,9701
9400,9729,25,9704
9500,9865,24,9835
9600,10349,26,13350
9700,10143,23,10210
9800,10234,23,10514
9900,10504,26,10436
10000,10531,24,10516
10100,10697,25,13173
10200,10798,25,10868
10300,10841,27,13495
10400,11319,30,10939
10500,11123,21,11351
10600,11173,24,11099
10700,11267,26,11254
10800,11464,27,11269
10900,11381,25,13856
11000,11834,37,12436
11100,11808,23,12156
11200,12029,25,11987
11300,12016,23,12109
11400,11940,23,15977
11500,12649,27,12196
11600,12337,27,14381
11700,12423,25,12430
11800,12516,24,15723
11900,13098,24,13097
12000,12732,26,14128
12100,13936,25,13113
12200,12874,25,13622
12300,13239,23,14363
12400,12979,24,14210
12500,13371,25,13246
12600,13564,26,13840
12700,13518,23,18568
12800,13574,22,13785
12900,14239,20,13320
13000,13259,22,13477
13100,13589,24,13532
13200,13605,23,14098
13300,15941,22,13869
13400,14023,23,15920
13500,14348,23,14510
13600,14553,25,14619
13700,14729,24,14498
13800,14989,22,15509
13900,14713,24,15033
14000,15143,21,14716
14100,14637,22,14919
14200,16347,23,15347
14300,15204,23,15223
14400,15650,23,15419
14500,15541,25,15346
14600,15685,24,16340
14700,15603,22,15299
14800,15823,26,15667
14900,16204,24,16838
15000,16049,26,16078
15100,16229,25,16090
15200,16479,23,16627
15300,16484,24,16293
15400,16355,25,16449
15500,16506,27,16682
15600,16688,24,17022
15700,16808,26,16983
15800,16829,24,17290
15900,17109,24,17057
16000,17259,24,17686
16100,19108,25,17399
16200,16915,24,17232
16300,18190,24,17308
16400,17679,24,18140
16500,17809,21,17612
16600,17925,23,17883
16700,18073,24,17962
16800,18133,27,18165
16900,17740,24,17615
17000,18395,24,18188
17100,18685,24,18888
17200,18579,24,18585
17300,18620,24,19303
17400,19711,24,19985
17500,19679,24,19445
17600,22333,25,19423
17700,19950,25,20589
17800,19893,25,21923
17900,20197,23,21527
18000,21019,25,20873
18100,20468,24,20844
18200,21645,21,20590
18300,20377,23,19795
18400,20040,23,22383
18500,20036,24,19943
18600,20313,25,19809
18700,19998,25,20140
18800,21854,23,20642
18900,22679,25,22970
19000,20900,23,21115
19100,21110,22,21714
19200,22408,25,21002
19300,22803,26,21995
19400,22016,25,23539
19500,21254,25,21349
19600,22954,25,23767
19700,21925,24,22235
19800,24545,24,22415
19900,23474,22,22794
20000,23168,27,23425
20100,21700,23,21781
20200,21914,24,22047
20300,23332,22,23318
20400,22830,23,22603
20500,22984,23,22586
20600,24625,22,22783
20700,22963,23,22653
20800,24518,23,24955
20900,24610,24,22903
21000,23614,22,24144
21100,23501,23,22655
21200,23941,23,24267
21300,24559,24,24511
21400,24941,24,24479
21500,23952,24,23632
21600,24306,24,24994
21700,24307,25,23344
21800,24245,24,24743
21900,24073,26,24520
22000,23801,22,24065
22100,25022,24,24429
22200,27948,28,27079
22300,25677,24,26821
22400,32387,26,25367
22500,34631,24,34867
22600,24719,25,26104
22700,26515,28,43728
