r,c,BC,AC,WC
4,4,-1,929,-1
5,5,-1,451,-1
6,6,-1,647,-1
7,7,-1,1237,-1
8,8,-1,1212,-1
9,9,-1,3046,-1
10,10,-1,1362,-1
11,11,-1,6918,-1
12,12,-1,914,-1
13,13,-1,1344,-1
14,14,-1,1266,-1
15,15,-1,1350,-1
16,16,-1,1442,-1
17,17,-1,1593,-1
18,18,-1,1819,-1
19,19,-1,2001,-1
20,20,-1,2170,-1
21,21,-1,2403,-1
22,22,-1,2554,-1
23,23,-1,2824,-1
24,24,-1,3096,-1
25,25,-1,3490,-1
26,26,-1,3780,-1
27,27,-1,4082,-1
28,28,-1,4206,-1
29,29,-1,4650,-1
30,30,-1,4801,-1
31,31,-1,5171,-1
32,32,-1,5492,-1
33,33,-1,5905,-1
34,34,-1,6103,-1
35,35,-1,6532,-1
36,36,-1,6829,-1
37,37,-1,7294,-1
38,38,-1,7780,-1
39,39,-1,8038,-1
40,40,-1,8565,-1
41,41,-1,8976,-1
42,42,-1,9432,-1
43,43,-1,9872,-1
44,44,-1,10351,-1
45,45,-1,10807,-1
46,46,-1,11230,-1
47,47,-1,11866,-1
48,48,-1,12125,-1
49,49,-1,12592,-1
50,50,-1,13244,-1
51,51,-1,13762,-1
52,52,-1,14368,-1
53,53,-1,15107,-1
54,54,-1,15701,-1
55,55,-1,16296,-1
56,56,-1,16716,-1
57,57,-1,17500,-1
58,58,-1,17929,-1
59,59,-1,18894,-1
60,60,-1,19207,-1
61,61,-1,19887,-1
62,62,-1,20410,-1
63,63,-1,20776,-1
64,64,-1,22276,-1
65,65,-1,22166,-1
66,66,-1,23006,-1
67,67,-1,23749,-1
68,68,-1,24376,-1
69,69,-1,25065,-1
70,70,-1,25829,-1
71,71,-1,26969,-1
72,72,-1,27782,-1
73,73,-1,28602,-1
74,74,-1,29284,-1
75,75,-1,30367,-1
76,76,-1,30580,-1
77,77,-1,31559,-1
78,78,-1,33190,-1
79,79,-1,33756,-1
80,80,-1,33594,-1
81,81,-1,34734,-1
82,82,-1,36492,-1
83,83,-1,37348,-1
84,84,-1,37649,-1
85,85,-1,39530,-1
86,86,-1,39357,-1
87,87,-1,40572,-1
88,88,-1,41744,-1
89,89,-1,43089,-1
90,90,-1,43816,-1
91,91,-1,44395,-1
92,92,-1,45327,-1
93,93,-1,47284,-1
94,94,-1,47907,-1
95,95,-1,47853,-1
96,96,-1,50153,-1
97,97,-1,50716,-1
98,98,-1,52163,-1
99,99,-1,53727,-1
100,100,-1,54843,-1
101,101,-1,55581,-1
102,102,-1,56860,-1
103,103,-1,58713,-1
