r,c,BC,AC,WC
4,4,-1,565,-1
5,5,-1,506,-1
6,6,-1,538,-1
7,7,-1,652,-1
8,8,-1,686,-1
9,9,-1,961,-1
10,10,-1,1117,-1
11,11,-1,1327,-1
12,12,-1,1332,-1
13,13,-1,1608,-1
14,14,-1,1856,-1
15,15,-1,2113,-1
16,16,-1,2444,-1
17,17,-1,2770,-1
18,18,-1,3093,-1
19,19,-1,3519,-1
20,20,-1,3859,-1
21,21,-1,4347,-1
22,22,-1,4926,-1
23,23,-1,5325,-1
24,24,-1,5825,-1
25,25,-1,6322,-1
26,26,-1,7028,-1
27,27,-1,7436,-1
28,28,-1,8032,-1
29,29,-1,8716,-1
30,30,-1,9582,-1
31,31,-1,10327,-1
32,32,-1,10887,-1
33,33,-1,11667,-1
34,34,-1,12385,-1
35,35,-1,13230,-1
36,36,-1,13977,-1
37,37,-1,14905,-1
38,38,-1,15660,-1
39,39,-1,16756,-1
40,40,-1,17699,-1
41,41,-1,18589,-1
42,42,-1,19507,-1
43,43,-1,20418,-1
44,44,-1,21314,-1
45,45,-1,22490,-1
46,46,-1,24050,-1
47,47,-1,25124,-1
48,48,-1,26417,-1
49,49,-1,26562,-1
50,50,-1,28084,-1
51,51,-1,30870,-1
52,52,-1,31625,-1
53,53,-1,33245,-1
54,54,-1,35007,-1
55,55,-1,35616,-1
56,56,-1,37183,-1
57,57,-1,38961,-1
58,58,-1,38954,-1
59,59,-1,41359,-1
60,60,-1,43294,-1
61,61,-1,45728,-1
62,62,-1,47099,-1
63,63,-1,48888,-1
64,64,-1,51020,-1
65,65,-1,52495,-1
66,66,-1,52662,-1
67,67,-1,56143,-1
68,68,-1,57263,-1
69,69,-1,59684,-1
70,70,-1,61122,-1
71,71,-1,63279,-1
72,72,-1,66186,-1
73,73,-1,68313,-1
74,74,-1,70969,-1
75,75,-1,71027,-1
76,76,-1,74811,-1
77,77,-1,77086,-1
78,78,-1,78701,-1
79,79,-1,79996,-1
80,80,-1,84184,-1
81,81,-1,84882,-1
82,82,-1,89293,-1
83,83,-1,90625,-1
84,84,-1,93393,-1
85,85,-1,98002,-1
86,86,-1,98425,-1
87,87,-1,101847,-1
88,88,-1,106248,-1
89,89,-1,108097,-1
90,90,-1,111378,-1
91,91,-1,113819,-1
92,92,-1,118837,-1
93,93,-1,117973,-1
94,94,-1,123227,-1
95,95,-1,126318,-1
96,96,-1,129571,-1
97,97,-1,132065,-1
98,98,-1,136735,-1
99,99,-1,139051,-1
100,100,-1,144126,-1
101,101,-1,147821,-1
102,102,-1,151995,-1
103,103,-1,154900,-1
