n,BestCase,AverageCase,WorstCase
100,1204,8467,15944
200,396,5930,5909
300,600,16403,27699
400,799,16194,25199
500,433,19291,26915
600,515,24837,40950
700,597,35171,51070
800,692,48021,74542
900,785,56661,101514
1000,1174,70513,98709
1100,885,77079,112762
1200,1009,94104,160075
1300,1052,104698,161571
1400,1068,118296,177685
1500,1136,134762,212061
1600,1232,167252,237958
1700,1278,176013,264603
1800,1429,193843,301174
1900,1440,227508,333692
2000,1489,240622,356845
2100,1612,260023,409739
2200,1642,287011,433246
2300,1713,309943,485491
2400,1770,339391,511014
2500,1884,369002,567234
2600,1918,406609,610843
2700,2127,427515,648497
2800,2037,458586,685116
2900,2125,494550,737414
3000,2186,529112,817008
3100,2276,561282,842882
3200,2354,630462,905439
3300,2478,653370,964571
3400,2508,693488,1040653
3500,2529,728240,1078614
3600,2751,751167,1161907
3700,2693,802912,1201533
3800,2868,882609,1287784
3900,2908,892755,1363062
4000,3151,943917,1437553
4100,3226,1012668,1516109
4200,3185,1037971,1581867
4300,3210,1106337,1644179
4400,3278,1127538,1731435
4500,3311,1179185,1763056
4600,3336,1225685,1831450
4700,3424,1278985,1949551
4800,3484,1316579,2028461
4900,3563,1434891,2112615
5000,3582,1453485,2167223
5100,3723,1516744,2261670
5200,3770,1612518,2373173
5300,3831,1621231,2518338
5400,4036,1691240,2537518
5500,4000,1793264,2646903
5600,4057,1800340,2724640
5700,4150,1856364,2868623
5800,4404,1951122,2966290
5900,4227,1982142,3031915
6000,4437,2110318,3131451
6100,4524,2209287,3283791
6200,4435,2242801,3415786
6300,4556,2255517,3454725
6400,4498,2345913,3597293
6500,4645,2417500,3741279
6600,4739,2498375,3861857
6700,4807,2562784,3910868
6800,4731,2692511,4004765
6900,4992,2723464,4139136
7000,5026,2853208,4295001
7100,5066,2941553,4489783
7200,5323,2951310,4495516
7300,5160,3047267,4622209
7400,5158,3309409,4783473
7500,5538,3276961,4989906
7600,5456,3412839,5231176
7700,5919,3550896,5331933
7800,5691,3556879,5456594
7900,5802,3623760,5472833
8000,5787,3742971,5615299
8100,5830,3905584,5827931
8200,6117,3924641,5929171
8300,6020,4019346,6183135
8400,6140,4103474,6231136
8500,6210,4191841,6449740
8600,6338,4340960,6575422
8700,6324,4489709,6677321
8800,6404,4527110,6872856
8900,6510,4699000,7017215
9000,6613,4727655,7157830
9100,6691,4925153,7471247
9200,6730,4963638,7602081
9300,6978,5055107,7767885
9400,6912,5139347,7938095
9500,6895,5286231,8169723
9600,7029,5395540,8181371
9700,7005,5436031,8435366
9800,7361,5573016,8701514
9900,7246,5750637,8887300
10000,7340,5959829,9218135
10100,7594,6037425,9456214
10200,7516,6090821,9375669
10300,7826,6163008,9623274
10400,7374,6318977,9786668
10500,7537,6378808,10078800
10600,7748,6591055,10176465
10700,8028,6683147,10528775
10800,7808,6775937,10664081
10900,7973,6878294,10895967
11000,8052,6946602,11034881
11100,8588,5653315,11158790
11200,8735,5894305,11491942
11300,8758,5915276,11620599
11400,8941,6066141,11847444
11500,9426,6142690,12182141
11600,9210,6224741,12206807
11700,9136,6302644,12533034
11800,9314,6352297,12652113
11900,9140,6439265,12743896
12000,9542,6541828,12969122
12100,9267,6595513,13118151
12200,9250,6700857,13362316
12300,9299,6986171,13704565
12400,9809,7058464,13988128
12500,9779,7217441,14329701
12600,9781,7203109,14524179
12700,10002,7416710,14776430
12800,10176,7544827,15031405
12900,9977,7637351,15201204
13000,10077,7700873,15582072
13100,10566,7978251,15757023
13200,10390,7991720,16061840
13300,10419,8118924,16193477
13400,10429,8301431,16516259
13500,10683,8393174,16771212
13600,10618,8509283,17016608
13700,10720,8612721,17264459
13800,10885,8704187,17529159
13900,10847,9030490,17844106
14000,11011,9061716,18046338
14100,11059,9150061,18364947
14200,11011,9278503,18641215
14300,11120,9550972,18892825
14400,11149,9511327,19197484
14500,11212,9714526,19522242
14600,11126,9867019,19805083
14700,11332,10285420,21733505
14800,12134,10229622,20436052
14900,11953,10286382,20761998
15000,11718,10495562,21002504
15100,11738,10524592,21040653
15200,11737,10666450,21535708
15300,11876,10870757,21782718
15400,11958,11019723,21978420
15500,12040,11124425,22364077
15600,12069,11270022,22578273
15700,12076,11347364,22857710
15800,12707,11539411,23175652
15900,12336,11634156,23719246
16000,12452,11889037,23913583
16100,12542,12945962,24293893
16200,12989,12370685,24794208
16300,12823,12122061,24601628
16400,12566,13666129,25003195
16500,13173,12610463,25196581
16600,12711,12804011,26237951
16700,12660,13055775,26444310
16800,12946,13607074,27306060
16900,13180,13399077,27477702
17000,13311,13623116,27812249
17100,13121,13927499,27831472
17200,13189,15603130,29033976
17300,14203,13683027,27874643
17400,13446,17164885,28102528
17500,23653,15629520,30224839
