n,BC,AC,WC
100,3614,3081,4425
200,6564,6264,15550
300,9701,9603,30591
400,13118,12975,50348
500,16740,16693,77248
600,20600,20508,110247
700,24471,24428,149130
800,28425,28488,193902
900,32496,32518,244932
1000,36527,36500,301188
1100,40794,41493,362676
1200,45101,44991,431163
1300,49182,49033,506298
1400,53319,53687,585464
1500,57726,57699,671228
1600,62438,62246,762842
1700,66482,66420,863355
1800,71027,70743,957001
1900,75026,75165,1076871
2000,79554,79534,1188767
2100,84007,83964,1311639
2200,88489,88427,1440285
2300,93210,92896,1573987
2400,97637,97451,1715135
2500,102706,102346,1859512
2600,107330,106819,2021320
2700,111141,114699,2173860
2800,117235,119942,2387250
2900,123769,121104,2585113
3000,127421,126776,2779330
3100,131753,131772,2886152
3200,136327,149331,3082024
3300,147813,142189,3432364
3400,146439,146616,3507859
3500,151089,153451,3736914
3600,158575,155027,3920249
3700,159297,162383,4140285
3800,166891,165297,4337596
3900,169804,171308,4627974
4000,176198,178334,4975048
4100,201683,179628,5121457
4200,183753,183213,5332663
4300,189283,188162,5538535
4400,192928,193758,5836389
4500,203936,199658,6161093
4600,208245,203102,6412044
4700,207467,207276,6645705
4800,212788,212768,6959725
4900,218488,219387,7246180
5000,223767,223024,7513936
5100,226720,227644,7843778
5200,233671,233264,8182950
5300,237591,237631,8504676
5400,242541,244644,8821588
5500,247187,247407,9141318
5600,252015,252389,9439381
5700,257240,259775,9837042
5800,271771,264142,10266741
5900,270303,268576,10686622
6000,272425,273342,10926627
6100,284741,281901,11470866
6200,287009,288134,11836263
6300,298598,291720,12355079
6400,297583,299756,12771161
6500,306395,296299,12992091
6600,301089,300043,13168461
6700,304056,302799,13456354
6800,309272,308756,13810805
6900,313674,313934,14265850
7000,319115,319327,14694904
7100,324550,324722,15141698
7200,329905,329509,15599742
7300,334911,335250,16045990
7400,340318,340198,16489477
7500,345049,358197,26961614
7600,352329,352065,17431000
7700,355196,355127,17827950
7800,360369,361134,18419434
7900,367891,371599,19042221
8000,373366,372158,19384966
8100,377093,379060,20000653
8200,383806,391762,20901036
8300,394489,387491,21388330
8400,393747,390613,21225683
8500,394605,393374,21553401
8600,397649,398876,22084463
8700,403940,403387,22506164
8800,409021,407997,23000619
8900,415536,410908,23477531
9000,414960,415189,23921247
9100,420276,420921,24525912
9200,428013,426642,25114128
9300,431000,432258,25665186
9400,438444,437946,26206302
9500,441090,443663,26736022
9600,447863,450057,27308096
9700,453814,455062,27996528
9800,460654,459831,28569619
9900,466987,464895,29185856
10000,468123,470496,29761427
