r,c,BC,AC,WC
100,2,-1,-1,24419
200,2,-1,-1,16592
300,2,-1,-1,26245
400,2,-1,-1,41031
500,2,-1,-1,59096
600,2,-1,-1,84277
700,2,-1,-1,111790
800,2,-1,-1,145492
900,2,-1,-1,183418
1000,2,-1,-1,225136
1100,2,-1,-1,272252
1200,2,-1,-1,321435
1300,2,-1,-1,377306
1400,2,-1,-1,438241
1500,2,-1,-1,497630
1600,2,-1,-1,570519
1700,2,-1,-1,645689
1800,2,-1,-1,718251
1900,2,-1,-1,794458
2000,2,-1,-1,880653
2100,2,-1,-1,968110
2200,2,-1,-1,1058775
2300,2,-1,-1,1161959
2400,2,-1,-1,1260011
2500,2,-1,-1,1370370
2600,2,-1,-1,1478883
2700,2,-1,-1,1592324
2800,2,-1,-1,1715553
2900,2,-1,-1,1844043
3000,2,-1,-1,1959722
3100,2,-1,-1,2095962
3200,2,-1,-1,2233247
3300,2,-1,-1,2375359
3400,2,-1,-1,2519529
3500,2,-1,-1,2665984
3600,2,-1,-1,2824568
3700,2,-1,-1,2978425
3800,2,-1,-1,3170910
3900,2,-1,-1,3305615
4000,2,-1,-1,3488316
4100,2,-1,-1,3665951
4200,2,-1,-1,3843133
4300,2,-1,-1,4017652
4400,2,-1,-1,4215874
4500,2,-1,-1,4405322
4600,2,-1,-1,4600536
4700,2,-1,-1,4808279
4800,2,-1,-1,5043958
4900,2,-1,-1,5304215
5000,2,-1,-1,5572100
5100,2,-1,-1,5677242
5200,2,-1,-1,5966698
5300,2,-1,-1,6183194
5400,2,-1,-1,6366012
5500,2,-1,-1,6592704
5600,2,-1,-1,6863054
5700,2,-1,-1,7232169
5800,2,-1,-1,7357601
5900,2,-1,-1,7666994
6000,2,-1,-1,7831776
6100,2,-1,-1,8205917
6200,2,-1,-1,8566938
6300,2,-1,-1,8706088
6400,2,-1,-1,8998272
6500,2,-1,-1,9274972
6600,2,-1,-1,9639227
6700,2,-1,-1,9861322
6800,2,-1,-1,10095255
6900,2,-1,-1,10397389
7000,2,-1,-1,10671940
7100,2,-1,-1,11077832
7200,2,-1,-1,11380932
7300,2,-1,-1,11883365
7400,2,-1,-1,11977893
7500,2,-1,-1,12339028
7600,2,-1,-1,12727710
7700,2,-1,-1,12908527
7800,2,-1,-1,13217169
7900,2,-1,-1,13581866
8000,2,-1,-1,13894870
8100,2,-1,-1,14256628
8200,2,-1,-1,14559851
8300,2,-1,-1,14993600
8400,2,-1,-1,15293281
8500,2,-1,-1,15662709
8600,2,-1,-1,16055409
8700,2,-1,-1,16453830
8800,2,-1,-1,17028505
8900,2,-1,-1,17224273
9000,2,-1,-1,17655681
9100,2,-1,-1,18108325
9200,2,-1,-1,18390662
9300,2,-1,-1,18779694
9400,2,-1,-1,19187715
9500,2,-1,-1,19593434
9600,2,-1,-1,20003786
9700,2,-1,-1,20500161
9800,2,-1,-1,20852565
9900,2,-1,-1,21497812
10000,2,-1,-1,21798162
