r,c,BC,AC,WC
100,2,-1,-1,26478
200,2,-1,-1,45181
300,2,-1,-1,52743
400,2,-1,-1,70629
500,2,-1,-1,87032
600,2,-1,-1,107020
700,2,-1,-1,128212
800,2,-1,-1,150768
900,2,-1,-1,169878
1000,2,-1,-1,190646
1100,2,-1,-1,214408
1200,2,-1,-1,235449
1300,2,-1,-1,259389
1400,2,-1,-1,281863
1500,2,-1,-1,303069
1600,2,-1,-1,325808
1700,2,-1,-1,350940
1800,2,-1,-1,373907
1900,2,-1,-1,398226
2000,2,-1,-1,425142
2100,2,-1,-1,444859
2200,2,-1,-1,468288
2300,2,-1,-1,492443
2400,2,-1,-1,517546
2500,2,-1,-1,539589
2600,2,-1,-1,573657
2700,2,-1,-1,596422
2800,2,-1,-1,612381
2900,2,-1,-1,642745
3000,2,-1,-1,663511
3100,2,-1,-1,692717
3200,2,-1,-1,714989
3300,2,-1,-1,741835
3400,2,-1,-1,762952
3500,2,-1,-1,791148
3600,2,-1,-1,811083
3700,2,-1,-1,836347
3800,2,-1,-1,862485
3900,2,-1,-1,888160
4000,2,-1,-1,906572
4100,2,-1,-1,942268
4200,2,-1,-1,967003
4300,2,-1,-1,990764
4400,2,-1,-1,1011198
4500,2,-1,-1,1044335
4600,2,-1,-1,1074341
4700,2,-1,-1,1100015
4800,2,-1,-1,1120675
4900,2,-1,-1,1144141
5000,2,-1,-1,1174527
5100,2,-1,-1,1204379
5200,2,-1,-1,1223873
5300,2,-1,-1,1245601
5400,2,-1,-1,1276079
5500,2,-1,-1,1301671
5600,2,-1,-1,1328796
5700,2,-1,-1,1354912
5800,2,-1,-1,1382062
5900,2,-1,-1,1408933
6000,2,-1,-1,1435485
6100,2,-1,-1,1451131
6200,2,-1,-1,1507248
6300,2,-1,-1,1535612
6400,2,-1,-1,1566709
6500,2,-1,-1,1579026
6600,2,-1,-1,1599677
6700,2,-1,-1,1635208
6800,2,-1,-1,1671562
6900,2,-1,-1,1701053
7000,2,-1,-1,1727506
7100,2,-1,-1,1749141
7200,2,-1,-1,1777305
7300,2,-1,-1,1815349
7400,2,-1,-1,1830301
7500,2,-1,-1,1859127
7600,2,-1,-1,1868388
7700,2,-1,-1,1918302
7800,2,-1,-1,1944803
7900,2,-1,-1,1963253
8000,2,-1,-1,2006538
8100,2,-1,-1,2021264
8200,2,-1,-1,2041752
8300,2,-1,-1,2087013
8400,2,-1,-1,2106559
8500,2,-1,-1,2138241
8600,2,-1,-1,2157470
8700,2,-1,-1,2199702
8800,2,-1,-1,2277502
8900,2,-1,-1,2320237
9000,2,-1,-1,2511407
9100,2,-1,-1,3017427
9200,2,-1,-1,2855051
9300,2,-1,-1,2651029
9400,2,-1,-1,2622596
9500,2,-1,-1,2511429
9600,2,-1,-1,2565628
9700,2,-1,-1,2559821
9800,2,-1,-1,2518895
9900,2,-1,-1,2522041
10000,2,-1,-1,2546690
