r,c,BC,AC,WC
100,3,-1,7231,-1
200,3,-1,9673,-1
300,3,-1,15090,-1
400,3,-1,20872,-1
500,3,-1,26973,-1
600,3,-1,33087,-1
700,3,-1,39345,-1
800,3,-1,46806,-1
900,3,-1,53033,-1
1000,3,-1,61486,-1
1100,3,-1,69352,-1
1200,3,-1,74962,-1
1300,3,-1,84491,-1
1400,3,-1,88114,-1
1500,3,-1,96074,-1
1600,3,-1,102737,-1
1700,3,-1,112341,-1
1800,3,-1,118170,-1
1900,3,-1,126203,-1
2000,3,-1,134032,-1
2100,3,-1,139443,-1
2200,3,-1,147978,-1
2300,3,-1,156661,-1
2400,3,-1,162702,-1
2500,3,-1,170903,-1
2600,3,-1,177284,-1
2700,3,-1,185292,-1
2800,3,-1,192992,-1
2900,3,-1,200945,-1
3000,3,-1,209046,-1
3100,3,-1,217220,-1
3200,3,-1,224106,-1
3300,3,-1,232446,-1
3400,3,-1,242039,-1
3500,3,-1,248461,-1
3600,3,-1,256131,-1
3700,3,-1,264134,-1
3800,3,-1,273101,-1
3900,3,-1,280435,-1
4000,3,-1,288101,-1
4100,3,-1,296462,-1
4200,3,-1,304796,-1
4300,3,-1,312742,-1
4400,3,-1,321433,-1
4500,3,-1,329508,-1
4600,3,-1,337531,-1
4700,3,-1,345311,-1
4800,3,-1,354034,-1
4900,3,-1,363668,-1
5000,3,-1,371589,-1
5100,3,-1,379154,-1
5200,3,-1,387626,-1
5300,3,-1,397238,-1
5400,3,-1,406126,-1
5500,3,-1,413641,-1
5600,3,-1,421706,-1
5700,3,-1,430319,-1
5800,3,-1,438431,-1
5900,3,-1,447377,-1
6000,3,-1,455425,-1
6100,3,-1,464638,-1
6200,3,-1,473056,-1
6300,3,-1,480552,-1
6400,3,-1,490114,-1
6500,3,-1,506068,-1
6600,3,-1,514340,-1
6700,3,-1,536504,-1
6800,3,-1,580799,-1
6900,3,-1,555624,-1
7000,3,-1,553009,-1
7100,3,-1,554949,-1
7200,3,-1,571424,-1
7300,3,-1,574399,-1
7400,3,-1,584286,-1
7500,3,-1,586947,-1
7600,3,-1,611933,-1
7700,3,-1,673761,-1
7800,3,-1,683473,-1
7900,3,-1,698843,-1
8000,3,-1,706956,-1
8100,3,-1,686957,-1
8200,3,-1,729221,-1
8300,3,-1,725483,-1
8400,3,-1,748804,-1
8500,3,-1,775727,-1
8600,3,-1,777205,-1
8700,3,-1,792648,-1
8800,3,-1,798388,-1
8900,3,-1,814326,-1
9000,3,-1,827213,-1
9100,3,-1,845758,-1
9200,3,-1,853699,-1
9300,3,-1,861738,-1
9400,3,-1,883158,-1
9500,3,-1,885251,-1
9600,3,-1,912242,-1
9700,3,-1,915540,-1
9800,3,-1,929995,-1
9900,3,-1,931983,-1
10000,3,-1,940763,-1
