n,BC,AC,WC
100,-1,-1,1973
200,-1,-1,4171
300,-1,-1,3473
400,-1,-1,2681
500,-1,-1,3323
600,-1,-1,4442
700,-1,-1,6174
800,-1,-1,6663
900,-1,-1,8067
1000,-1,-1,8384
1100,-1,-1,7822
1200,-1,-1,10029
1300,-1,-1,8950
1400,-1,-1,10583
1500,-1,-1,9995
1600,-1,-1,10541
1700,-1,-1,12024
1800,-1,-1,12058
1900,-1,-1,12234
2000,-1,-1,13708
2100,-1,-1,14124
2200,-1,-1,16153
2300,-1,-1,16510
2400,-1,-1,16970
2500,-1,-1,17934
2600,-1,-1,17568
2700,-1,-1,19428
2800,-1,-1,18664
2900,-1,-1,19597
3000,-1,-1,19267
3100,-1,-1,21031
3200,-1,-1,21918
3300,-1,-1,24228
3400,-1,-1,24244
3500,-1,-1,24713
3600,-1,-1,24538
3700,-1,-1,25152
3800,-1,-1,28125
3900,-1,-1,30517
4000,-1,-1,29013
4100,-1,-1,30025
4200,-1,-1,29008
4300,-1,-1,29950
4400,-1,-1,30976
4500,-1,-1,31764
4600,-1,-1,32671
4700,-1,-1,37211
4800,-1,-1,36611
4900,-1,-1,36364
5000,-1,-1,38792
5100,-1,-1,39676
5200,-1,-1,36168
5300,-1,-1,39588
5400,-1,-1,37282
5500,-1,-1,40121
5600,-1,-1,41628
5700,-1,-1,41775
5800,-1,-1,43371
5900,-1,-1,42880
6000,-1,-1,45414
6100,-1,-1,40684
6200,-1,-1,43951
6300,-1,-1,44057
6400,-1,-1,46890
6500,-1,-1,50041
6600,-1,-1,48607
6700,-1,-1,47611
6800,-1,-1,47288
6900,-1,-1,46622
7000,-1,-1,47178
7100,-1,-1,47121
7200,-1,-1,48841
7300,-1,-1,51647
7400,-1,-1,48502
7500,-1,-1,50389
7600,-1,-1,47671
7700,-1,-1,51975
7800,-1,-1,49793
7900,-1,-1,51494
8000,-1,-1,49913
8100,-1,-1,55188
8200,-1,-1,51647
8300,-1,-1,50618
8400,-1,-1,59781
8500,-1,-1,56727
8600,-1,-1,60688
8700,-1,-1,57674
8800,-1,-1,62570
8900,-1,-1,59074
9000,-1,-1,60994
9100,-1,-1,60673
9200,-1,-1,63736
9300,-1,-1,63975
9400,-1,-1,65560
9500,-1,-1,64903
9600,-1,-1,71343
9700,-1,-1,69992
9800,-1,-1,66371
9900,-1,-1,71259
10000,-1,-1,70736
