r,c,BC,AC,WC
100,2,-1,905,-1
200,2,-1,355,-1
300,2,-1,405,-1
400,2,-1,492,-1
500,2,-1,556,-1
600,2,-1,719,-1
700,2,-1,681,-1
800,2,-1,753,-1
900,2,-1,922,-1
1000,2,-1,975,-1
1100,2,-1,1023,-1
1200,2,-1,1031,-1
1300,2,-1,1103,-1
1400,2,-1,1226,-1
1500,2,-1,1265,-1
1600,2,-1,1338,-1
1700,2,-1,1434,-1
1800,2,-1,1662,-1
1900,2,-1,1658,-1
2000,2,-1,2100,-1
2100,2,-1,1883,-1
2200,2,-1,2050,-1
2300,2,-1,2179,-1
2400,2,-1,2202,-1
2500,2,-1,2291,-1
2600,2,-1,2227,-1
2700,2,-1,2223,-1
2800,2,-1,2351,-1
2900,2,-1,2526,-1
3000,2,-1,2438,-1
3100,2,-1,2669,-1
3200,2,-1,2743,-1
3300,2,-1,3153,-1
3400,2,-1,2919,-1
3500,2,-1,2805,-1
3600,2,-1,3544,-1
3700,2,-1,2956,-1
3800,2,-1,3019,-1
3900,2,-1,3016,-1
4000,2,-1,3311,-1
4100,2,-1,3285,-1
4200,2,-1,3160,-1
4300,2,-1,3458,-1
4400,2,-1,4012,-1
4500,2,-1,3563,-1
4600,2,-1,4705,-1
4700,2,-1,3993,-1
4800,2,-1,3724,-1
4900,2,-1,3900,-1
5000,2,-1,4171,-1
5100,2,-1,4814,-1
5200,2,-1,4295,-1
5300,2,-1,4318,-1
5400,2,-1,4890,-1
5500,2,-1,5259,-1
5600,2,-1,4512,-1
5700,2,-1,4453,-1
5800,2,-1,4791,-1
5900,2,-1,4469,-1
6000,2,-1,4573,-1
6100,2,-1,4604,-1
6200,2,-1,4544,-1
6300,2,-1,4452,-1
6400,2,-1,4518,-1
6500,2,-1,4589,-1
6600,2,-1,4585,-1
6700,2,-1,4713,-1
6800,2,-1,4821,-1
6900,2,-1,4845,-1
7000,2,-1,4875,-1
7100,2,-1,4959,-1
7200,2,-1,5135,-1
7300,2,-1,5119,-1
7400,2,-1,5207,-1
7500,2,-1,5242,-1
7600,2,-1,5478,-1
7700,2,-1,5524,-1
7800,2,-1,6498,-1
7900,2,-1,6016,-1
8000,2,-1,5993,-1
8100,2,-1,5840,-1
8200,2,-1,5961,-1
8300,2,-1,6147,-1
8400,2,-1,6827,-1
8500,2,-1,6444,-1
8600,2,-1,6729,-1
8700,2,-1,6142,-1
8800,2,-1,6134,-1
8900,2,-1,6132,-1
9000,2,-1,6285,-1
9100,2,-1,6257,-1
9200,2,-1,6329,-1
9300,2,-1,6392,-1
9400,2,-1,6492,-1
9500,2,-1,6584,-1
9600,2,-1,6695,-1
9700,2,-1,6777,-1
9800,2,-1,6783,-1
9900,2,-1,6875,-1
10000,2,-1,6856,-1
