r,c,BC,AC,WC
5,5,1287,-1,327
10,10,575,-1,498
15,15,318,-1,282
20,20,234,-1,322
25,25,224,-1,376
30,30,259,-1,484
35,35,311,-1,638
40,40,364,-1,828
45,45,386,-1,1019
50,50,434,-1,1230
55,55,460,-1,1453
60,60,503,-1,1718
65,65,540,-1,2005
70,70,606,-1,2355
75,75,1092,-1,3072
80,80,772,-1,2817
85,85,685,-1,3174
90,90,720,-1,3435
95,95,905,-1,3895
100,100,952,-1,4395
105,105,1490,-1,4908
110,110,1022,-1,4989
115,115,1102,-1,5503
120,120,1383,-1,7463
125,125,1579,-1,6792
130,130,1350,-1,6712
135,135,2410,-1,7202
140,140,1470,-1,7747
145,145,1185,-1,8319
150,150,1288,-1,8789
155,155,1296,-1,9354
160,160,1311,-1,9940
165,165,1360,-1,10452
170,170,1386,-1,11130
175,175,1416,-1,11806
180,180,1458,-1,12401
185,185,1511,-1,13083
190,190,1603,-1,14137
195,195,2622,-1,16813
200,200,2520,-1,16096
205,205,2216,-1,16962
210,210,2765,-1,18118
215,215,3500,-1,17569
220,220,1865,-1,18285
225,225,2029,-1,19017
230,230,1984,-1,19871
235,235,2038,-1,20597
240,240,2349,-1,21646
245,245,2075,-1,21867
250,250,1898,-1,23311
255,255,1920,-1,23642
260,260,2602,-1,24532
265,265,2259,-1,25743
270,270,2718,-1,26953
275,275,2708,-1,28192
280,280,2591,-1,28753
285,285,3018,-1,32059
290,290,3091,-1,30840
295,295,3236,-1,31274
300,300,2899,-1,33413
305,305,3177,-1,33636
310,310,2358,-1,35538
315,315,2034,-1,35704
320,320,2184,-1,37083
325,325,2213,-1,37685
330,330,2269,-1,39811
