r,c,BC,AC,WC
5,5,-1,4903,-1
10,10,-1,5796,-1
15,15,-1,5243,-1
20,20,-1,5671,-1
25,25,-1,8113,-1
30,30,-1,10578,-1
35,35,-1,13377,-1
40,40,-1,16738,-1
45,45,-1,19950,-1
50,50,-1,23622,-1
55,55,-1,27201,-1
60,60,-1,32011,-1
65,65,-1,36220,-1
70,70,-1,41413,-1
75,75,-1,46476,-1
80,80,-1,51604,-1
85,85,-1,55914,-1
90,90,-1,62257,-1
95,95,-1,68395,-1
100,100,-1,77034,-1
105,105,-1,83056,-1
110,110,-1,88450,-1
115,115,-1,92053,-1
120,120,-1,100619,-1
125,125,-1,111983,-1
130,130,-1,114174,-1
135,135,-1,117618,-1
140,140,-1,123609,-1
145,145,-1,132517,-1
150,150,-1,147802,-1
155,155,-1,154564,-1
160,160,-1,162583,-1
165,165,-1,168425,-1
170,170,-1,180447,-1
175,175,-1,193615,-1
180,180,-1,204182,-1
185,185,-1,213513,-1
190,190,-1,223706,-1
195,195,-1,234830,-1
200,200,-1,239808,-1
205,205,-1,254628,-1
210,210,-1,271003,-1
215,215,-1,274129,-1
220,220,-1,287473,-1
225,225,-1,297948,-1
230,230,-1,326225,-1
235,235,-1,329237,-1
240,240,-1,337870,-1
245,245,-1,345798,-1
250,250,-1,355887,-1
255,255,-1,405697,-1
260,260,-1,420809,-1
265,265,-1,402543,-1
270,270,-1,549671,-1
275,275,-1,623952,-1
280,280,-1,647874,-1
285,285,-1,718758,-1
290,290,-1,752110,-1
295,295,-1,767882,-1
300,300,-1,766313,-1
305,305,-1,801105,-1
310,310,-1,834524,-1
315,315,-1,844840,-1
320,320,-1,865685,-1
325,325,-1,903121,-1
330,330,-1,924708,-1
335,335,-1,874097,-1
340,340,-1,824683,-1
345,345,-1,825177,-1
350,350,-1,847953,-1
355,355,-1,882060,-1
360,360,-1,921436,-1
365,365,-1,951390,-1
370,370,-1,1107582,-1
375,375,-1,1012778,-1
380,380,-1,1033485,-1
385,385,-1,1064753,-1
390,390,-1,1133722,-1
395,395,-1,1106472,-1
400,400,-1,1094548,-1
