r,c,BC,AC,WC
5,5,-1,4894,-1
10,10,-1,7399,-1
15,15,-1,8814,-1
20,20,-1,6480,-1
25,25,-1,8517,-1
30,30,-1,11463,-1
35,35,-1,14257,-1
40,40,-1,17641,-1
45,45,-1,21304,-1
50,50,-1,24930,-1
55,55,-1,29380,-1
60,60,-1,33604,-1
65,65,-1,38271,-1
70,70,-1,42201,-1
75,75,-1,47367,-1
80,80,-1,53368,-1
85,85,-1,59601,-1
90,90,-1,64093,-1
95,95,-1,69235,-1
100,100,-1,75875,-1
105,105,-1,82612,-1
110,110,-1,89243,-1
115,115,-1,95627,-1
120,120,-1,102323,-1
125,125,-1,110265,-1
130,130,-1,120364,-1
135,135,-1,118257,-1
140,140,-1,126708,-1
145,145,-1,134771,-1
150,150,-1,144194,-1
155,155,-1,152927,-1
160,160,-1,162074,-1
165,165,-1,174962,-1
170,170,-1,182977,-1
175,175,-1,194199,-1
180,180,-1,201785,-1
185,185,-1,208726,-1
190,190,-1,221647,-1
195,195,-1,235083,-1
200,200,-1,242475,-1
205,205,-1,252849,-1
210,210,-1,268829,-1
215,215,-1,286464,-1
220,220,-1,283985,-1
