n,BC,AC,WC
5,-1,902,-1
10,-1,1947,-1
15,-1,4029,-1
20,-1,7527,-1
25,-1,11471,-1
30,-1,19584,-1
35,-1,25431,-1
40,-1,37213,-1
45,-1,52706,-1
50,-1,62144,-1
55,-1,70273,-1
60,-1,89256,-1
65,-1,107139,-1
70,-1,125405,-1
75,-1,149498,-1
80,-1,181732,-1
85,-1,209242,-1
90,-1,246966,-1
95,-1,276261,-1
100,-1,316078,-1
105,-1,366241,-1
110,-1,411365,-1
115,-1,459942,-1
120,-1,515952,-1
125,-1,601330,-1
130,-1,635519,-1
135,-1,703417,-1
140,-1,776786,-1
145,-1,852565,-1
150,-1,934728,-1
155,-1,1022965,-1
160,-1,1115313,-1
165,-1,1210692,-1
170,-1,1309441,-1
175,-1,1433286,-1
180,-1,1527577,-1
185,-1,1672223,-1
190,-1,1769967,-1
195,-1,1904940,-1
200,-1,2075452,-1
205,-1,2191843,-1
210,-1,2330261,-1
215,-1,2473062,-1
220,-1,2689109,-1
225,-1,2837541,-1
230,-1,3028309,-1
235,-1,3297128,-1
240,-1,3523771,-1
245,-1,3605747,-1
250,-1,3777327,-1
255,-1,4024467,-1
260,-1,4213755,-1
265,-1,4442305,-1
270,-1,4688072,-1
275,-1,4933057,-1
280,-1,5186072,-1
285,-1,5569957,-1
290,-1,5721093,-1
295,-1,5989882,-1
300,-1,6348228,-1
305,-1,6608696,-1
310,-1,6975274,-1
315,-1,7330136,-1
320,-1,7637491,-1
325,-1,7968584,-1
330,-1,8278724,-1
335,-1,8737129,-1
340,-1,9060468,-1
345,-1,9330557,-1
350,-1,9780861,-1
355,-1,10177319,-1
360,-1,10732292,-1
365,-1,11053212,-1
370,-1,11575108,-1
375,-1,11915603,-1
380,-1,13670834,-1
385,-1,12924166,-1
390,-1,13966484,-1
395,-1,14057441,-1
400,-1,14450007,-1
405,-1,15030048,-1
410,-1,15675992,-1
415,-1,16162048,-1
420,-1,16777549,-1
425,-1,17406105,-1
430,-1,18549293,-1
435,-1,18982575,-1
440,-1,19368645,-1
445,-1,21605531,-1
450,-1,21857161,-1
455,-1,21341731,-1
460,-1,22607986,-1
465,-1,23860494,-1
470,-1,24492630,-1
475,-1,25434112,-1
480,-1,25880102,-1
485,-1,27225964,-1
490,-1,27794251,-1
495,-1,28859258,-1
500,-1,30109092,-1
