r,c,BC,AC,WC
4,1,-1,2443,-1
5,1,-1,902,-1
6,1,-1,3344,-1
7,1,-1,1150,-1
8,1,-1,4956,-1
9,1,-1,1877,-1
10,1,-1,4437,-1
11,1,-1,3099,-1
12,1,-1,17068,-1
13,1,-1,12087,-1
14,1,-1,259058,-1
15,1,-1,179188,-1
16,1,-1,1433547,-1
17,1,-1,770059,-1
18,1,-1,5690587,-1
19,1,-1,323352,-1
20,1,-1,29714389,-1
21,1,-1,1311925,-1
22,1,-1,299281625,-1
23,1,-1,4478567,-1
24,1,-1,79051933,-1
25,1,-1,9363588,-1
26,1,-1,86040284,-1
27,1,-1,101309732,-1
28,1,-1,709591634,-1
29,1,-1,377515375,-1
30,1,-1,15079071637,-1
31,1,-1,3676387037,-1
