r,c,BC,AC,WC
100,2,-1,6092,-1
200,2,-1,6964,-1
300,2,-1,7790,-1
400,2,-1,8909,-1
500,2,-1,10958,-1
600,2,-1,12274,-1
700,2,-1,14940,-1
800,2,-1,16455,-1
900,2,-1,17750,-1
1000,2,-1,20175,-1
1100,2,-1,23591,-1
1200,2,-1,24646,-1
1300,2,-1,26585,-1
1400,2,-1,28526,-1
1500,2,-1,31018,-1
1600,2,-1,32333,-1
1700,2,-1,33834,-1
1800,2,-1,35041,-1
1900,2,-1,39793,-1
2000,2,-1,39598,-1
2100,2,-1,43918,-1
2200,2,-1,46552,-1
2300,2,-1,46722,-1
2400,2,-1,50044,-1
2500,2,-1,54552,-1
2600,2,-1,52770,-1
2700,2,-1,58815,-1
2800,2,-1,57370,-1
2900,2,-1,59050,-1
3000,2,-1,59782,-1
3100,2,-1,65896,-1
3200,2,-1,67085,-1
3300,2,-1,66041,-1
3400,2,-1,71742,-1
3500,2,-1,70382,-1
3600,2,-1,74616,-1
3700,2,-1,73607,-1
3800,2,-1,74947,-1
3900,2,-1,80390,-1
4000,2,-1,80305,-1
4100,2,-1,83650,-1
4200,2,-1,84979,-1
4300,2,-1,88292,-1
4400,2,-1,88305,-1
4500,2,-1,89773,-1
4600,2,-1,96071,-1
4700,2,-1,94548,-1
4800,2,-1,94745,-1
4900,2,-1,98266,-1
5000,2,-1,103726,-1
5100,2,-1,106799,-1
5200,2,-1,103317,-1
5300,2,-1,109065,-1
5400,2,-1,111362,-1
5500,2,-1,112877,-1
5600,2,-1,114772,-1
5700,2,-1,116535,-1
5800,2,-1,115890,-1
5900,2,-1,120193,-1
6000,2,-1,121921,-1
6100,2,-1,119811,-1
6200,2,-1,122774,-1
6300,2,-1,126840,-1
6400,2,-1,125556,-1
6500,2,-1,126233,-1
6600,2,-1,130043,-1
6700,2,-1,138398,-1
6800,2,-1,135232,-1
6900,2,-1,138931,-1
7000,2,-1,138988,-1
7100,2,-1,139433,-1
7200,2,-1,144547,-1
7300,2,-1,151611,-1
7400,2,-1,147210,-1
7500,2,-1,152753,-1
7600,2,-1,149620,-1
7700,2,-1,153716,-1
7800,2,-1,156824,-1
7900,2,-1,160359,-1
8000,2,-1,157874,-1
8100,2,-1,157709,-1
8200,2,-1,162102,-1
8300,2,-1,167635,-1
8400,2,-1,166627,-1
8500,2,-1,172528,-1
8600,2,-1,170912,-1
8700,2,-1,171290,-1
8800,2,-1,172207,-1
8900,2,-1,177845,-1
9000,2,-1,178404,-1
9100,2,-1,179158,-1
9200,2,-1,181511,-1
9300,2,-1,179959,-1
9400,2,-1,182966,-1
9500,2,-1,190790,-1
9600,2,-1,189721,-1
9700,2,-1,187661,-1
9800,2,-1,194174,-1
9900,2,-1,194415,-1
10000,2,-1,201413,-1
