r,c,BC,AC,WC
5,5,-1,2063,-1
10,10,-1,3573,-1
15,15,-1,3334,-1
20,20,-1,6031,-1
25,25,-1,9884,-1
30,30,-1,16095,-1
35,35,-1,23115,-1
40,40,-1,33315,-1
45,45,-1,47201,-1
50,50,-1,62822,-1
55,55,-1,81115,-1
60,60,-1,104097,-1
65,65,-1,133325,-1
70,70,-1,159615,-1
75,75,-1,197320,-1
80,80,-1,233868,-1
85,85,-1,278634,-1
90,90,-1,328389,-1
95,95,-1,386356,-1
100,100,-1,465387,-1
105,105,-1,527787,-1
110,110,-1,600038,-1
115,115,-1,686587,-1
120,120,-1,776758,-1
125,125,-1,859998,-1
130,130,-1,967978,-1
135,135,-1,1071550,-1
140,140,-1,1196349,-1
145,145,-1,1315075,-1
150,150,-1,1468826,-1
155,155,-1,1642701,-1
160,160,-1,1786140,-1
165,165,-1,1935195,-1
170,170,-1,2186057,-1
175,175,-1,2399310,-1
180,180,-1,2532836,-1
185,185,-1,2792467,-1
190,190,-1,2947042,-1
195,195,-1,3284300,-1
200,200,-1,3549845,-1
205,205,-1,3705680,-1
210,210,-1,3973635,-1
215,215,-1,4334842,-1
220,220,-1,4580723,-1
225,225,-1,4851454,-1
230,230,-1,5242788,-1
235,235,-1,5654767,-1
240,240,-1,5996177,-1
245,245,-1,6417360,-1
250,250,-1,6801131,-1
255,255,-1,7116008,-1
260,260,-1,7893978,-1
265,265,-1,10881350,-1
270,270,-1,10031399,-1
275,275,-1,9120752,-1
280,280,-1,9622095,-1
285,285,-1,9905807,-1
290,290,-1,10498100,-1
295,295,-1,11106315,-1
300,300,-1,11577169,-1
305,305,-1,12427217,-1
310,310,-1,13044817,-1
315,315,-1,13334158,-1
320,320,-1,13822589,-1
325,325,-1,14491840,-1
330,330,-1,15076230,-1
335,335,-1,15857784,-1
340,340,-1,16605347,-1
345,345,-1,17324470,-1
350,350,-1,18205973,-1
355,355,-1,19355964,-1
360,360,-1,19776873,-1
365,365,-1,20658779,-1
370,370,-1,21814342,-1
375,375,-1,22644033,-1
380,380,-1,23546318,-1
385,385,-1,24313743,-1
390,390,-1,25205414,-1
395,395,-1,26491120,-1
400,400,-1,27797716,-1
405,405,-1,28944517,-1
410,410,-1,30090687,-1
415,415,-1,31087620,-1
420,420,-1,31842508,-1
425,425,-1,33029118,-1
430,430,-1,34139632,-1
435,435,-1,35489736,-1
440,440,-1,36974675,-1
445,445,-1,38314701,-1
450,450,-1,39050188,-1
455,455,-1,40552954,-1
460,460,-1,41593249,-1
465,465,-1,51711868,-1
470,470,-1,45708251,-1
475,475,-1,46032219,-1
480,480,-1,47351088,-1
485,485,-1,49668853,-1
490,490,-1,51759151,-1
495,495,-1,52587298,-1
